"sceneID","sensor","acquisitionDate","upperLeftCornerLatitude","upperLeftCornerLongitude","upperRightCornerLatitude","upperRightCornerLongitude","lowerLeftCornerLatitude","lowerLeftCornerLongitude","lowerRightCornerLatitude","lowerRightCornerLongitude","sceneCenterLatitude","sceneCenterLongitude","satelliteNumber","DATUM","ELEVATION_SOURCE","ELLIPSOID","EPHEMERIS_TYPE","FALSE_EASTING","FALSE_NORTHING","GRID_CELL_SIZE_REFLECTIVE","MAP_PROJECTION_L1","MAP_PROJECTION_L0RA","ORIENTATION"
"LC80900902014095LGN00","OLI_TIRS",2014,-42.118,146.367,-42.5371,148.655,-43.8205,145.753,-44.2493,148.104,-43.1847,"147.219","","","","","","","","","","",""
"LC80900892014095LGN00","OLI_TIRS",2014,-40.6949,146.858,-41.1085,149.097,-42.4,146.267,-42.8228,148.564,-41.7597,"147.696","","","","","","","","","","",""
"LC80900882014095LGN00","OLI_TIRS",2014,-39.2696,147.333,-39.6782,149.525,-40.9772,146.762,-41.3944,149.009,-40.3327,"148.157","","","","","","","","","","",""
"LC80410372014088LGN00","OLI_TIRS",2014,34.228,-119.491,33.8412,-117.48,32.4992,-119.946,32.1126,-117.974,33.1771,"-118.722","","","","","","","","","","",""
"LC80410362014088LGN00","OLI_TIRS",2014,35.6621,-119.104,35.2722,-117.06,33.9344,-119.569,33.545,-117.567,34.6106,"-118.323","","","","","","","","","","",""
"LC80400372014081LGN00","OLI_TIRS",2014,34.2277,-117.955,33.8411,-115.945,32.4987,-118.41,32.1123,-116.439,33.1768,"-117.186","","","","","","","","","","",""
"LC80900892014079LGN00","OLI_TIRS",2014,-40.6949,146.854,-41.1087,149.093,-42.4,146.263,-42.8229,148.561,-41.7598,"147.692","","","","","","","","","","",""
"LC80900882014079LGN00","OLI_TIRS",2014,-39.2698,147.329,-39.6785,149.521,-40.9773,146.758,-41.3946,149.005,-40.3329,"148.153","","","","","","","","","","",""
"LC80410372014072LGN00","OLI_TIRS",2014,34.228,-119.503,33.8413,-117.493,32.499,-119.957,32.1125,-117.987,33.1771,"-118.734","","","","","","","","","","",""
"LC80410362014072LGN00","OLI_TIRS",2014,35.6622,-119.115,35.2723,-117.072,33.9344,-119.58,33.545,-117.579,34.6106,"-118.335","","","","","","","","","","",""
"LC80400372014065LGN00","OLI_TIRS",2014,34.2278,-117.944,33.8412,-115.935,32.4988,-118.399,32.1124,-116.429,33.1769,"-117.175","","","","","","","","","","",""
"LC80900902014063LGN00","OLI_TIRS",2014,-42.1183,146.379,-42.5375,148.666,-43.8208,145.765,-44.2497,148.116,-43.185,"147.231","","","","","","","","","","",""
"LC80900892014063LGN00","OLI_TIRS",2014,-40.6949,146.87,-41.1087,149.109,-42.4,146.279,-42.823,148.576,-41.7598,"147.708","","","","","","","","","","",""
"LC80900882014063LGN00","OLI_TIRS",2014,-39.2696,147.345,-39.6784,149.537,-40.9772,146.774,-41.3946,149.021,-40.3328,"148.169","","","","","","","","","","",""
"LC80410372014056LGN00","OLI_TIRS",2014,34.2281,-119.492,33.8414,-117.483,32.499,-119.947,32.1125,-117.977,33.1771,"-118.723","","","","","","","","","","",""
"LC80410362014056LGN00","OLI_TIRS",2014,35.6624,-119.105,35.2725,-117.062,33.9344,-119.57,33.5451,-117.569,34.6107,"-118.325","","","","","","","","","","",""
"LC80400372014049LGN00","OLI_TIRS",2014,34.2282,-117.952,33.8415,-115.942,32.499,-118.406,32.1126,-116.436,33.1772,"-117.183","","","","","","","","","","",""
"LC80900882014047LGN00","OLI_TIRS",2014,-39.2695,147.329,-39.6782,149.52,-40.9773,146.758,-41.3946,149.004,-40.3327,"148.153","","","","","","","","","","",""
"LC80410372014040LGN00","OLI_TIRS",2014,34.2282,-119.494,33.8413,-117.484,32.4992,-119.949,32.1125,-117.978,33.1772,"-118.725","","","","","","","","","","",""
"LC80410362014040LGN00","OLI_TIRS",2014,35.6626,-119.106,35.2726,-117.063,33.9348,-119.572,33.5453,-117.571,34.611,"-118.327","","","","","","","","","","",""
"LC80910902014038LGN00","OLI_TIRS",2014,-42.1179,144.812,-42.537,147.098,-43.8207,144.197,-44.2495,146.546,-43.1847,"145.663","","","","","","","","","","",""
"LC80400372014033LGN00","OLI_TIRS",2014,34.2279,-117.959,33.841,-115.949,32.4989,-118.414,32.1123,-116.443,33.1769,"-117.19","","","","","","","","","","",""
"LC80900902014031LGN00","OLI_TIRS",2014,-42.1179,146.349,-42.5371,148.635,-43.8207,145.734,-44.2496,148.084,-43.1848,"147.2","","","","","","","","","","",""
"LC80900892014031LGN00","OLI_TIRS",2014,-40.6944,146.841,-41.1082,149.078,-42.3998,146.249,-42.8228,148.545,-41.7594,"147.678","","","","","","","","","","",""
"LC80900882014031LGN00","OLI_TIRS",2014,-39.2692,147.316,-39.678,149.506,-40.9772,146.745,-41.3945,148.99,-40.3325,"148.139","","","","","","","","","","",""
"LC80410372014024LGN00","OLI_TIRS",2014,34.2281,-119.499,33.8409,-117.488,32.4994,-119.954,32.1125,-117.982,33.1771,"-118.729","","","","","","","","","","",""
"LC80410362014024LGN00","OLI_TIRS",2014,35.6626,-119.111,35.2723,-117.067,33.935,-119.576,33.5453,-117.574,34.6109,"-118.331","","","","","","","","","","",""
"LC80910902014023LGN00","OLI_TIRS",2014,-42.1181,144.809,-42.5374,147.096,-43.8209,144.195,-44.2499,146.544,-43.185,"145.661","","","","","","","","","","",""
"LC80400372014017LGN00","OLI_TIRS",2014,34.228,-117.939,33.8408,-115.928,32.4994,-118.394,32.1124,-116.423,33.177,"-117.17","","","","","","","","","","",""
"LC80900902014015LGN00","OLI_TIRS",2014,-42.118,146.367,-42.5375,148.654,-43.8207,145.753,-44.2499,148.103,-43.185,"147.219","","","","","","","","","","",""
"LC80900892014015LGN00","OLI_TIRS",2014,-40.6946,146.86,-41.1087,149.097,-42.3999,146.268,-42.8231,148.564,-41.7597,"147.697","","","","","","","","","","",""
"LC80900882014015LGN00","OLI_TIRS",2014,-39.2694,147.335,-39.6784,149.526,-40.977,146.763,-41.3946,149.009,-40.3327,"148.158","","","","","","","","","","",""
"LC80410372014008LGN00","OLI_TIRS",2014,34.2281,-119.497,33.8407,-117.486,32.4996,-119.952,32.1124,-117.98,33.1771,"-118.727","","","","","","","","","","",""
"LC80410362014008LGN00","OLI_TIRS",2014,35.6623,-119.109,35.2717,-117.064,33.9349,-119.575,33.5449,-117.572,34.6106,"-118.329","","","","","","","","","","",""
"LC80910902014007LGN00","OLI_TIRS",2014,-42.1179,144.8,-42.5374,147.087,-43.8205,144.186,-44.2497,146.536,-43.1848,"145.652","","","","","","","","","","",""
"LC80910892014006LGN00","OLI_TIRS",2014,-40.6948,145.292,-41.1089,147.53,-42.4,144.7,-42.8232,146.997,-41.7598,"146.13","","","","","","","","","","",""
"LC80910882014006LGN00","OLI_TIRS",2014,-39.2696,145.768,-39.6786,147.959,-40.9772,145.196,-41.3948,147.442,-40.3329,"146.591","","","","","","","","","","",""
"LC80400372014001LGN00","OLI_TIRS",2014,34.2282,-117.96,33.8407,-115.948,32.4998,-118.415,32.1126,-116.443,33.1772,"-117.19","","","","","","","","","","",""
"LC80900902013364LGN00","OLI_TIRS",2013,-42.1179,146.336,-42.5376,148.624,-43.8203,145.722,-44.2498,148.073,-43.1848,"147.188","","","","","","","","","","",""
"LC80900892013364LGN00","OLI_TIRS",2013,-40.6946,146.829,-41.109,149.067,-42.3996,146.237,-42.8231,148.534,-41.7597,"147.666","","","","","","","","","","",""
"LC80900882013364LGN00","OLI_TIRS",2013,-39.2692,147.304,-39.6785,149.496,-40.9767,146.733,-41.3946,148.979,-40.3326,"148.128","","","","","","","","","","",""
"LC80410372013357LGN00","OLI_TIRS",2013,34.228,-119.502,33.8405,-117.49,32.4996,-119.957,32.1123,-117.984,33.177,"-118.732","","","","","","","","","","",""
"LC80410362013357LGN00","OLI_TIRS",2013,35.6626,-119.114,35.2719,-117.069,33.9353,-119.579,33.5452,-117.576,34.6109,"-118.333","","","","","","","","","","",""
"LC80400372013350LGN00","OLI_TIRS",2013,34.228,-117.955,33.8406,-115.944,32.4995,-118.411,32.1123,-116.439,33.177,"-117.186","","","","","","","","","","",""
